time,ADS.fAHUFanSUPSpeedActADSInternalValuesMirror,ADS.fAHUTempEHAADSInternalValuesMirror,ADS.fAHUTempETAADSInternalValuesMirror,ADS.fAHUTempODAADSInternalValuesMirror,ADS.fAHUTempSUPADSInternalValuesMirror,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.fAHURHValveActADSInternalValuesMirror,ADS.bAHUPHPumpOperatingADSInternalValuesMirror
2023-11-18T20:00:00Z,59.978464393615724,14.045700178146362,19.125000076293944,10.111100177764893,21.01619966506958,0.0,27.651299896240236,0.0
2023-11-18T20:15:00Z,59.996578216552734,14.142222144386984,19.1273737820712,10.284949591665557,21.007777512675585,0.0,28.026800079345705,0.0
2023-11-18T20:30:00Z,60.0,14.240198116491337,19.128613575850384,10.44188105705941,21.00861349200258,0.0,29.475800495147706,0.0
2023-11-18T20:45:00Z,60.0,14.331399946212768,19.17170011520386,10.629800004959106,21.034099559783936,0.0,30.13000068664551,0.0
2023-11-18T21:00:00Z,60.0,14.4654543231232,19.185252892850624,10.835353571959216,21.145353413591483,0.0,26.39888880951236,0.0
2023-11-18T21:15:00Z,60.0,14.55980016708374,19.20469997406006,10.91479995727539,21.100500450134277,0.0,27.45140027999878,0.0
2023-11-18T21:30:00Z,59.98791564941406,14.659405934928667,19.217623531228245,11.039109050637425,21.12257426800114,0.0,28.150494981520247,0.0
2023-11-18T21:45:00Z,59.97844493865967,14.711499977111817,19.25800018310547,11.120299882888794,21.18363573093607,0.0,27.189699878692625,0.0
2023-11-18T22:00:00Z,59.971146240234376,14.774646489307134,19.257272893732246,11.221414026587901,21.20879985809326,0.0,26.716464399087307,0.0
2023-11-18T22:15:00Z,60.0,14.852299966812133,19.277900638580324,11.34949990272522,21.209699573516847,0.0,26.694200496673584,0.0
2023-11-18T22:30:00Z,60.0,14.933861364232431,19.30594004262792,11.416237613942364,21.2098016455622,0.0,27.304455200044234,0.0
2023-11-18T22:45:00Z,59.9937084197998,14.967272585088557,19.33020194853195,11.39454546841708,21.25090841813521,0.0,27.85349977493286,0.0
2023-11-18T23:00:00Z,59.98182865142822,14.986399936676026,19.331199951171875,11.41849998474121,21.284799785614013,0.0,26.741313298543293,0.0
2023-11-18T23:15:00Z,60.0,15.013000297546387,19.345700283050537,11.46999979019165,21.285899868011473,0.0,26.26290002822876,0.0
2023-11-18T23:30:00Z,59.96606285095215,15.018218078235588,19.35980258601727,11.466400032043458,21.27249931335449,0.0,27.293662987133064,0.0
2023-11-18T23:45:00Z,60.0,15.04171717287314,19.361717821371677,11.540200071334839,21.297199993133546,0.0,28.203333170727046,0.0
2023-11-19T00:00:00Z,60.0,15.0560000705719,19.360200614929198,11.557300357818603,21.331799507141113,0.0,26.891099987030028,0.0
2023-11-19T00:15:00Z,60.0,15.04470006942749,19.37690055847168,11.592499961853028,21.330499439239503,0.0,26.52750057220459,0.0
2023-11-19T00:30:00Z,60.0,15.101400136947632,19.40319969177246,11.672599964141845,21.317799777984618,0.0,27.762574261958058,0.0
2023-11-19T00:45:00Z,60.0,15.218299894332885,19.41840003967285,11.904199838638306,21.36719955444336,0.0,27.46141375917377,0.0
2023-11-19T01:00:00Z,59.984713821411134,15.341700067520142,19.430300312042235,12.092299995422364,21.397699451446535,0.0,26.01250026702881,0.0
2023-11-19T01:15:00Z,59.97828044891357,15.389999866485596,19.457899494171144,12.152600154876708,21.381899642944337,0.0,26.801100063323975,0.0
2023-11-19T01:30:00Z,59.984379539489744,15.434199838638305,19.4792995262146,12.246999950408936,21.400099563598634,0.0,28.087699737548828,0.0
2023-11-19T01:45:00Z,60.0,15.53639988899231,19.489299755096436,12.35829981803894,21.460099983215333,0.0,25.644600162506105,0.0
2023-11-19T02:00:00Z,59.987501335144046,15.551600036621094,19.495399894714357,12.378799962997437,21.416999950408936,0.0,26.667600479125976,0.0
2023-11-19T02:15:00Z,60.0,15.582899990081787,19.512600288391113,12.429999828338623,21.408499946594237,0.0,28.27109987258911,0.0
2023-11-19T02:30:00Z,60.0,15.58879997253418,19.508900203704833,12.478099937438964,21.46029947280884,0.0,26.86850004196167,0.0
2023-11-19T02:45:00Z,60.0,15.620599994659424,19.510700244903564,12.410800018310546,21.4503995513916,0.0,26.75180025100708,0.0
2023-11-19T03:00:00Z,60.0,15.609999847412109,19.498299961090087,12.432699861526489,21.413399028778077,0.0,29.605800342559814,0.0
2023-11-19T03:15:00Z,60.0,15.557100124359131,19.522700519561766,12.457299728393554,21.470399322509767,0.0,26.970699634552002,0.0
2023-11-19T03:30:00Z,59.997771759033206,15.634300022125244,19.50560012817383,12.458800086975097,21.433900318145753,0.0,26.899999618530273,0.0
2023-11-19T03:45:00Z,59.99060401916504,15.576400184631348,19.498999977111815,12.223499898910523,21.4471994972229,0.0,26.899999618530273,0.0
2023-11-19T04:00:00Z,60.0,15.411700067520142,19.515500354766846,12.218499946594239,21.444899368286134,0.0,26.4650998878479,0.0
2023-11-19T04:15:00Z,60.0,15.427099771499634,19.532700748443602,12.233199834823608,21.373899974822997,0.0,29.271599349975585,0.0
2023-11-19T04:30:00Z,59.99233020782471,15.398199949264527,19.525400581359865,12.090700063705444,21.463199539184572,0.0,25.53280014038086,0.0
2023-11-19T04:45:00Z,59.99548835754395,15.361500196456909,19.521700496673585,12.055200023651123,21.390500240325927,0.0,27.02499938964844,0.0
2023-11-19T05:00:00Z,59.9982160949707,15.376300315856934,19.53710033416748,12.107400102615356,21.40589948654175,0.0,26.665299854278565,0.0
2023-11-19T05:15:00Z,59.989742546081544,15.322100219726563,19.517800407409666,12.089799919128417,21.393199920654297,0.0,26.814500617980958,0.0
2023-11-19T05:30:00Z,60.0,15.303600120544434,19.50560012817383,12.099200363159179,21.347900066375733,0.0,28.15330062866211,0.0
2023-11-19T05:45:00Z,59.983480339050296,15.306399984359741,19.497299938201905,12.094400253295898,21.354699993133544,0.0,29.295599842071532,0.0
2023-11-19T06:00:00Z,59.998846435546874,15.260900115966797,19.496399917602538,12.036800041198731,21.385799293518065,0.0,27.200800552368165,0.0
2023-11-19T06:15:00Z,59.99330000443892,15.155700216293335,19.46809970855713,11.865799779891967,21.347499866485595,0.0,26.110000610351562,0.0
2023-11-19T06:30:00Z,60.0,15.087400093078614,19.45959915161133,11.79709997177124,21.325799827575683,0.0,26.115900573730467,0.0
2023-11-19T06:45:00Z,59.996707153320315,15.089800243377686,19.474499416351318,11.763800048828125,21.274999504089354,0.0,28.45140012741089,0.0
2023-11-19T07:00:00Z,60.0,15.009000072479248,19.466899242401123,11.59090012550354,21.29589988708496,0.0,28.691100101470948,0.0
2023-11-19T07:15:00Z,59.984086227416995,14.9678999710083,19.459699573516847,11.533000278472901,21.32229969024658,0.0,26.946300201416015,0.0
