time,ADS.fAHUHRBypValveSetADSInternalValuesMirror,ADS.fAHUHRBypValveAct1ADSInternalValuesMirror,ADS.fAHUPHValveSetADSInternalValuesMirror,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.eAHUPHPumpContModeADSInternalValuesMirror,ADS.bAHUPHPumpErrorADSInternalValuesMirror,ADS.fAHUPHPumpSpeedADSInternalValuesMirror,ADS.fAHUPHPumpVolFlowADSInternalValuesMirror,ADS.fAHUPHTempSupPrimADSInternalValuesMirror,ADS.fAHUPHTempRetPrimADSInternalValuesMirror,ADS.fAHUTempEHAADSInternalValuesMirror,ADS.fAHUHumEHAADSInternalValuesMirror,ADS.fAHUFlapEHAActADSInternalValuesMirror,ADS.fAHUFlapEHASetADSInternalValuesMirror,ADS.fAHUFlapODAActADSInternalValuesMirror,ADS.fAHUFlapODASetADSInternalValuesMirror,ADS.fAHUTempODAADSInternalValuesMirror,ADS.fAHUHumODAADSInternalValuesMirror
2023-02-17T17:00:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,71.48809505644299,62.38571421305338,14.447857152848016,70.9547620500837,99.61000061035156,100.0,99.52642931256976,100.0,10.79690474555606,89.79523849487305
2023-02-17T17:15:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,81.7534882301508,71.83953502566315,14.154651176097781,72.61627924719522,99.61000061035156,100.0,99.49209381813226,100.0,10.637674420378929,90.67906898675963
2023-02-17T17:30:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,75.33255803307821,65.74883740447288,14.070238226935977,73.20465105633403,99.61000061035156,100.0,99.5011635713799,100.0,10.63357146581014,90.53720873455669
2023-02-17T17:45:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,74.09285717918759,64.81904774620419,14.027209414992221,73.50476183210101,99.61000061035156,100.0,99.44285801478794,100.0,10.561162948608398,90.68571326846168
2023-02-17T18:00:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4581396413404,75.28372032697811,14.008837322856104,73.66511624358421,99.61000061035156,100.0,99.51930307787518,100.0,10.487674469171568,90.94418689816497
2023-02-17T18:15:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,75.45000003633045,66.31190472557431,13.952857108343215,73.88571602957589,99.61000061035156,100.0,99.55428641183036,100.0,10.37952368600028,91.10237939017159
2023-02-17T18:30:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,74.71860486407613,65.63720933781114,13.893255743869515,74.06976637729379,99.61000061035156,100.0,99.51023332462755,100.0,10.240697661111522,91.35348989797193
2023-02-17T18:45:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5906973550486,74.48372117863146,13.856744189595068,74.10232543945312,99.61000061035156,100.0,99.59186110385629,100.0,10.19302337114201,91.27907012229743
2023-02-17T19:00:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,77.11190450759162,67.79285757882255,13.906428518749419,73.69761875697544,99.61000061035156,100.0,99.52642931256976,100.0,10.234047458285378,90.94761984688895
2023-02-17T19:15:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,77.80000003548555,68.70930232558139,13.90720908586369,73.48372117863146,99.61000061035156,100.0,99.5011635713799,100.0,10.169999854509221,90.89767597996911
2023-02-17T19:30:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,82.12325553006904,72.55116254229878,13.946190243675595,73.18372132057367,99.61000061035156,100.0,99.52837283112282,100.0,10.199285643441337,90.64883653507677
2023-02-17T19:45:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,81.76428513299851,72.31904765537807,14.019302368164062,72.72142828078498,99.61000061035156,100.0,99.54500071207683,100.0,10.16674418782079,90.56428473336356
2023-02-17T20:00:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,81.08837234142214,71.69767477346021,14.039302493250647,72.4697679031727,99.61000061035156,100.0,99.55558209086574,100.0,10.162092918573423,90.44418636588163
2023-02-17T20:15:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,79.3547621227446,70.12142799014137,14.051904973529634,72.16904721941266,99.61000061035156,100.0,99.54500071207683,100.0,10.145238081614176,90.20714024135044
2023-02-17T20:30:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,81.45581374057504,72.02558171471884,14.010930260946584,72.07209192320357,99.61000061035156,100.0,99.53744258437045,100.0,10.099069839300112,90.3000014549078
2023-02-17T20:45:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,76.97441846270894,67.6488370673601,13.850465153538904,72.53023245168286,99.61000061035156,100.0,99.5011635713799,100.0,10.089534936949264,90.41628034724745
2023-02-17T21:00:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,68.78333373296829,59.60952377319336,13.7128571555728,72.99285725184849,99.61000061035156,100.0,99.46142941429501,100.0,10.073333490462531,90.54047557285854
2023-02-17T21:15:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,77.78372050440589,67.96046518725018,13.617906991825548,73.30697827006496,99.61000061035156,100.0,99.56465184411337,100.0,10.09255815106769,90.49069781636082
2023-02-17T21:30:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,81.65952391851516,71.16511686458144,13.595000039963494,73.33488606297692,99.61000061035156,100.0,99.5465123376181,100.0,10.129762059166318,90.3348862404047
2023-02-17T21:45:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,72.46046518725018,63.040476208641415,13.567674659019293,73.45714387439546,99.61000061035156,100.0,99.52642931256976,100.0,10.01395347506501,90.96190497988746
2023-02-17T22:00:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,80.36976747734602,70.3697676547738,13.469999867816304,74.02558100500772,99.61000061035156,100.0,99.51930307787518,100.0,9.909069615741108,91.82325602686683
2023-02-17T22:15:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75476201375325,68.36666543143136,13.504523844945998,74.19999967302594,99.61000061035156,100.0,99.55428641183036,100.0,9.852142901647658,92.39523733229865
2023-02-17T22:30:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,85.17674415056095,74.70930214815361,13.500697712565577,74.39534972434821,99.61000061035156,100.0,99.51930307787518,100.0,9.776744265889013,93.0302329839662
2023-02-17T22:45:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,72.09069753247638,62.29302330904229,13.44511630923249,74.87441910144895,99.61000061035156,100.0,99.56465184411337,100.0,9.728139500285303,93.50697663772938
2023-02-17T23:00:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,71.90238117036365,62.04285748799642,13.36642853418986,75.39285823277065,99.61000061035156,100.0,99.44285801478794,100.0,9.680476324898857,93.91904849097843
2023-02-17T23:15:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,84.75813985425373,74.12325570749682,13.339767589125522,75.71627843102743,99.61000061035156,100.0,99.51930307787518,100.0,9.679069896077001,94.18139364553052
2023-02-17T23:30:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,74.13809549240838,64.32619031270345,13.345238208770752,75.92558253088663,99.61000061035156,100.0,99.57372159736101,100.0,9.67476206734067,94.36279279132222
2023-02-17T23:45:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0813953488372,66.1860466003418,13.404186026994573,75.88571548461914,99.61000061035156,100.0,99.52642931256976,100.0,9.646976759267408,94.62857037498837
2023-02-18T00:00:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,88.66511659843977,77.94883728027344,13.492790599202001,75.70930108358694,99.61000061035156,100.0,99.49209381813226,100.0,9.660930101261583,94.78139726505724
2023-02-18T00:15:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,77.59047571818034,68.0214285169329,13.548333440508161,75.5976175580706,99.61000061035156,100.0,99.5635721115839,100.0,9.6621428444272,94.80238396780831
2023-02-18T00:30:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,75.9558140954306,66.35348794626636,13.5648838752924,75.56744083138399,99.61000061035156,100.0,99.5465123376181,100.0,9.656744047652843,94.7930258817451
2023-02-18T00:45:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,82.37441874659339,72.4441858335983,13.671860406565111,75.17209341359693,99.61000061035156,100.0,99.56465184411337,100.0,9.673953477726426,94.69069476460301
2023-02-18T01:00:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,87.82619022187733,77.59047626313709,13.803333350590297,74.66666684831891,99.61000061035156,100.0,99.5635721115839,100.0,9.726190453483945,94.63571221487862
2023-02-18T01:15:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,79.10232526202535,69.72325613332349,13.925116206324377,74.23720887649891,99.61000061035156,100.0,99.53744258437045,100.0,9.785116195678711,94.69767157976017
2023-02-18T01:30:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,79.32857131958008,70.12857110159737,13.96642846152896,74.1720911070358,99.61000061035156,100.0,99.52837283112282,100.0,9.822142918904623,94.74186032317405
2023-02-18T01:45:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,84.70232568785201,74.5860464406568,13.85697670870049,74.59047535487584,99.61000061035156,100.0,99.54500071207683,100.0,9.888371999873671,94.47142900739398
2023-02-18T02:00:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,72.17674397313317,62.31395375451376,13.761395365692849,75.00000053228334,99.61000061035156,100.0,99.56465184411337,100.0,9.887441701667253,94.23953424498092
2023-02-18T02:15:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7047613234747,53.776190349033904,13.619047687167214,75.5,99.61000061035156,100.0,99.50785791306268,100.0,9.836190496172224,94.13333129882812
2023-02-18T02:30:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,81.47674383119096,70.40232591850813,13.51348841467569,75.85813992522483,99.61000061035156,100.0,99.51930307787518,100.0,9.755348959634471,94.27674510867097
2023-02-18T02:45:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,81.44418601102608,71.31860475761945,13.421627843102744,76.24186138774074,99.61000061035156,100.0,99.51930307787518,100.0,9.702790637348974,94.46511681135311
2023-02-18T03:00:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,71.1952383858817,61.13095238095238,13.384047599065871,76.40476335797992,99.61000061035156,100.0,99.52642931256976,100.0,9.6321428162711,94.69761912027995
2023-02-18T03:15:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,79.7813949584961,69.17906960775686,13.30302322742551,76.75116250681323,99.61000061035156,100.0,99.55558209086574,100.0,9.522093151890955,95.11627906976744
2023-02-18T03:30:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,80.55476215907505,70.00000009082612,13.270952497209821,76.95714351109096,99.61000061035156,100.0,99.51023332462755,100.0,9.48261883145287,95.44523893083844
2023-02-18T03:45:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1023256168809,65.05581390026003,13.30976756783419,76.88837344147439,99.61000061035156,100.0,99.5357150123233,100.0,9.445813822191814,95.62557947912882
