time,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.fAHUPHValveSetADSInternalValuesMirror,ADS.eAHUPHPumpContModeADSInternalValuesMirror,ADS.bAHUPHPumpErrorADSInternalValuesMirror,ADS.bAHUPHPumpOperatingADSInternalValuesMirror,ADS.fAHUPHPumpPowerADSInternalValuesMirror,ADS.fAHUPHPumpPressureADSInternalValuesMirror,ADS.bAHUPHPumpSetOnADSInternalValuesMirror,ADS.fAHUPHPumpSetpointADSInternalValuesMirror,ADS.fAHUPHPumpSpeedADSInternalValuesMirror,ADS.fAHUPHPumpVolFlowADSInternalValuesMirror,ADS.fAHUPHTempSupPrimADSInternalValuesMirror,ADS.fAHUPHTempRetPrimADSInternalValuesMirror,ADS.fAHUPHTempSupADSInternalValuesMirror,ADS.fAHUPHTempRetADSInternalValuesMirror
2023-03-27T04:00:00Z,36.546127777099606,36.555959701538086,6.0,0.0,1.0,27.14,0.2939999997615814,1.0,50.0,2307.28,1.512000002861023,75.16699928283691,56.39799983978271,28.683000221252442,20.40999996185303
2023-03-27T04:15:00Z,34.94013916619934,34.93473290924979,6.0,0.0,1.0,27.059405940594058,0.2939009899550145,1.0,50.0,2307.158415841584,1.5099009924595899,75.37623800145518,56.50197982788086,29.160396084927097,20.654455317129003
2023-03-27T04:30:00Z,35.58285274505615,35.578348541259764,6.0,0.0,1.0,27.16,0.2937000000476837,1.0,50.0,2307.16,1.5150000035762787,74.3420011138916,55.61100048065185,29.06699993133545,20.545999603271483
2023-03-27T04:45:00Z,35.18715286254883,35.18339984893799,6.0,0.0,1.0,27.16,0.2939999997615814,1.0,50.0,2307.43,1.5090000021457672,74.428999710083,55.75900051116943,29.045999908447264,20.587999782562257
2023-03-27T05:00:00Z,35.327895098393505,35.339428476767964,6.0,0.0,1.0,27.22772277227723,0.2938019801484476,1.0,50.0,2307.09900990099,1.5336633743626056,74.75049538187461,56.08910864650613,28.63762368306075,20.399009855666964
2023-03-27T05:15:00Z,35.76775287628174,35.771044960021975,6.0,0.0,1.0,27.3,0.2939999997615814,1.0,50.0,2307.15,1.531000007390976,75.10299980163575,56.45800006866455,28.469999866485594,20.270999813079833
2023-03-27T05:30:00Z,35.23162822912235,35.21709328830832,6.0,0.0,1.0,27.405940594059405,0.2937029703418807,1.0,50.0,2307.3960396039606,1.5366336721004825,75.77029781530399,57.15940592548635,28.277227685002998,20.200990072571404
2023-03-27T05:45:00Z,34.057626228332516,34.036810150146486,6.0,0.0,1.0,27.37,0.2939999997615814,1.0,50.0,2307.0,1.531000007390976,76.77899963378906,58.086000022888186,28.261999893188477,20.27600008010864
2023-03-27T06:00:00Z,35.064674452979965,35.0649622171232,6.0,0.0,1.0,27.415841584158414,0.2938019801484476,1.0,50.0,2306.8514851485147,1.5386138705924006,77.27920751288386,58.66435649607441,27.591089248657227,19.82376170394444
2023-03-27T06:15:00Z,33.60121088027954,33.5965146446228,6.0,0.0,1.0,27.5,0.2939999997615814,1.0,50.0,2306.56,1.5470000112056732,77.48800018310547,58.840000038146975,27.888000030517578,20.03699987411499
