time,ADS.fAHUFlapETAActADSInternalValuesMirror,ADS.fAHUFlapETASetADSInternalValuesMirror,ADS.fAHUFanETASpeedActADSInternalValuesMirror,ADS.fAHUFanETASpeedSetADSInternalValuesMirror,ADS.fAHUFanETAVdpActADSInternalValuesMirror,ADS.fAHUFanETAVolFlowActADSInternalValuesMirror,ADS.fAHUTempETAADSInternalValuesMirror,ADS.fAHUHumETAADSInternalValuesMirror,ADS.fAHUFanSUPVdpActADSInternalValuesMirror,ADS.fAHUFanSUPVolFlowActADSInternalValuesMirror
2022-12-31T01:45:00Z,99.61000061035156,100.0,53.38515932806607,53.402202737742456,457.8965517241379,7431.357590247845,19.760689899839203,58.17931063421841,700.6896551724138,7427.414618130388
2022-12-31T02:00:00Z,99.61000061035156,100.0,53.42940744860419,53.464990023908946,457.13793103448273,7424.556404903017,19.755000114440918,58.08275788405846,699.1034482758621,7420.3848666487065
2022-12-31T02:15:00Z,99.61000061035156,100.0,53.331838199070525,53.327532632010325,457.57142857142856,7428.65398297991,19.799310289580248,57.914286613464355,698.8928571428571,7419.279227120535
2022-12-31T02:30:00Z,99.58310410072063,100.0,53.24043234463396,53.20789087229762,458.17241379310343,7433.918137122845,19.82793091083395,57.86551797801051,700.448275862069,7427.376902613147
2022-12-31T02:45:00Z,99.61000061035156,100.0,53.046371986126076,53.05181213905071,459.37931034482756,7443.738786368534,19.832758607535528,58.04482755989864,699.8275862068965,7424.407916891164
2022-12-31T03:00:00Z,99.58310410072063,100.0,53.122959268504175,53.08972220585264,458.17241379310343,7433.422329606681,19.806896078175512,58.4482755989864,700.4827586206897,7426.855586610991
2022-12-31T03:15:00Z,99.5965523555361,100.0,53.18725533320986,53.219927820666086,459.0689655172414,7440.375286233836,19.78586275824185,58.751723716998924,699.6896551724138,7422.060748922414
2022-12-31T03:30:00Z,99.61000061035156,100.0,53.326316570413525,53.36052335541824,455.17241379310343,7405.237708782328,19.802758447055158,58.82758607535526,701.9655172413793,7434.794231546336
2022-12-31T03:45:00Z,99.5965523555361,100.0,53.130920804780104,53.107590510927395,457.3103448275862,7427.091291756466,19.850345216948412,58.696551224281045,703.0344827586207,7440.717352505388
2022-12-31T04:00:00Z,99.56965584590517,100.0,53.09413923066238,53.07225470707334,460.82758620689657,7455.688038793103,19.862414327161066,58.54137867894666,701.3793103448276,7433.374831627155
2022-12-31T04:15:00Z,99.58310410072063,100.0,53.20075252138335,53.23644940606479,456.8965517241379,7423.736445985991,19.852500438690186,58.5,700.0,7425.199909078664
2022-12-31T04:30:00Z,99.61000061035156,100.0,53.186701910836355,53.17082364218576,458.75,7438.611903599331,19.828275746312634,58.52068933947333,701.5714285714286,7433.804949079241
2022-12-31T04:45:00Z,99.61000061035156,100.0,53.23055754036739,53.21807756095097,458.55172413793105,7427.729222790948,19.828275746312634,58.48620710701778,701.0689655172414,7430.184688173491
2022-12-31T05:00:00Z,99.5965523555361,100.0,53.23660225703799,53.18321267489729,457.55172413793105,7429.039668642241,19.87413787841797,58.475862437281116,701.551724137931,7433.834186422414
2022-12-31T05:15:00Z,99.61000061035156,100.0,53.116373259445716,53.16106927805934,456.51724137931035,7421.303559401939,19.903447973317114,58.68275806821626,701.8275862068965,7435.589203933189
2022-12-31T05:30:00Z,99.5965523555361,100.0,53.16305791920629,53.249516059612404,454.55172413793105,7405.028875942888,19.899654783051588,58.87241468758419,702.1724137931035,7437.2283304148705
2022-12-31T05:45:00Z,99.5965523555361,100.0,53.23993801248485,53.24195335651266,457.3103448275862,7430.336190059267,19.877586101663525,58.844827849289466,698.8275862068965,7419.425915948276
2022-12-31T06:00:00Z,99.61000061035156,100.0,53.07889570038894,53.10138176227438,460.0344827586207,7449.110924030172,19.854483176921978,58.74827588837722,699.8620689655172,7424.981276939655
2022-12-31T06:15:00Z,99.61000061035156,100.0,53.16176710457638,53.152886489342,458.0,7432.920376481681,19.8667859349932,58.782758120832774,699.7241379310345,7427.997642780172
2022-12-31T06:30:00Z,99.5965523555361,100.0,53.14307890267208,53.15199398172313,457.48275862068965,7429.215853987069,19.909310176454742,58.653571128845215,700.8620689655172,7431.247103987069
2022-12-31T06:45:00Z,99.58214351109096,100.0,53.26330035073416,53.28663716997419,456.42857142857144,7420.647269112723,19.923448431080786,58.40344869679418,701.8214285714286,7436.718645368303
2022-12-31T07:00:00Z,99.56965584590517,100.0,53.39440668040309,53.446983337402344,455.2758620689655,7411.333277209052,19.920000076293945,58.16551708352977,700.7241379310345,7431.216679014009
2022-12-31T07:15:00Z,99.5965523555361,100.0,53.37268974041117,53.436340463572535,454.9310344827586,7408.343042834052,19.902758302359747,57.96206928121632,699.1034482758621,7422.010910560345
2022-12-31T07:30:00Z,99.61000061035156,100.0,53.48601663523707,53.52403232969087,455.86206896551727,7416.0096646012935,19.915517215071052,57.70689615710028,701.1379310344828,7433.213025323276
2022-12-31T07:45:00Z,99.61000061035156,100.0,53.423217378813646,53.458504775474815,456.44827586206895,7421.159415409483,19.94448286911537,57.382759225779566,698.551724137931,7420.448259024784
2022-12-31T08:00:00Z,99.5965523555361,100.0,53.692889772612475,53.690697637097585,458.0,7434.023757408405,19.95689615710028,57.11724090576172,701.5862068965517,7436.004141971983
2022-12-31T08:15:00Z,99.5965523555361,100.0,53.60865257526266,53.58561627618198,458.6551724137931,7439.301404229526,19.949999973691742,56.95862132105334,698.8275862068965,7424.214203933189
2022-12-31T08:30:00Z,99.61000061035156,100.0,53.61359313438679,53.56870006692821,459.41379310344826,7445.328478582974,19.943571840013778,56.900001525878906,701.5862068965517,7436.886146282328
2022-12-31T08:45:00Z,99.58214351109096,100.0,53.63457975716427,53.66536160173087,456.37931034482756,7419.290788922991,19.96482724156873,56.82857131958008,699.0357142857143,7423.295078822544
2022-12-31T09:00:00Z,99.5965523555361,100.0,53.65711389269148,53.59267084939139,461.57142857142856,7463.792749865302,20.002413848350788,56.658620242414806,701.2068965517242,7435.524178340517
2022-12-31T09:15:00Z,99.58310410072063,100.0,53.79821435336409,53.79766109071929,456.13793103448273,7416.997592268319,20.027586772524078,56.53448223245555,700.5172413793103,7432.774700296336
2022-12-31T09:30:00Z,99.61000061035156,100.0,53.93355284066036,53.912736300764415,458.0,7434.7874966325435,20.039310652634192,56.43793198158001,697.2068965517242,7415.5369241648705
2022-12-31T09:45:00Z,99.61000061035156,100.0,53.8851695882863,53.881001965752965,458.1034482758621,7436.061994881466,20.049999960537615,56.33448291647023,697.8275862068965,7418.0221578663795
2022-12-31T10:00:00Z,99.5965523555361,100.0,53.61883518613618,53.59584466342268,458.6896551724138,7443.625993399784,20.086896633279736,56.13793037677633,700.0689655172414,7430.842823949353
